CODIGO;INCLUSAO
208801;2024-03-07
207791;2023-09-29
51506;2016-04-14
211666;2025-01-28
148212;2019-10-16
203604;2021-10-08
215779;2026-04-08
51889;2016-10-11
185462;2020-05-11
164881;2020-01-21
50641;2011-09-26
216555;2026-04-06
216376;2026-03-12
211180;2024-11-25
202762;2021-06-26
200063;2020-09-28
162782;2020-01-09
67601;2017-10-04
216713;2026-04-10
50027;2010-08-16
213257;2025-06-04
207991;2023-11-03
98550;2018-08-24
206141;2023-02-02
203819;2021-11-16
157556;2019-11-26
51441;2016-01-29
208126;2023-11-28
66459;2017-08-14
51310;2015-03-12
208104;2023-11-23
199038;2020-08-17
203594;2021-10-07
188529;2020-05-21
205389;2022-08-24
153429;2019-11-04
51778;2016-08-30
51073;2013-07-17
205673;2022-10-11
51032;2013-04-25
205546;2022-09-20
70688;2017-11-03
196890;2020-07-22
215134;2025-11-19
51203;2014-07-07
213594;2025-07-08
50976;2013-01-31
208853;2024-03-14
81063;2018-03-19
214863;2025-10-22
211571;2025-01-20
211277;2024-12-09
215913;2026-02-13
204591;2022-04-06
62215;2017-05-02
203083;2021-07-28
207877;2023-10-11
217679;2026-07-07
210149;2024-08-13
50218;2010-09-20
50136;2010-09-14
206315;2023-03-08
66405;2017-07-19
50723;2012-04-25
202593;2021-05-17
210982;2024-10-31
50316;2010-09-29
207349;2023-07-31
202410;2021-03-25
50080;2010-09-01
212467;2025-04-01
215816;2026-01-27
210581;2024-09-17
202879;2021-07-06
212179;2025-03-12
214691;2025-10-08
213274;2025-06-05
217129;2026-05-28
211853;2025-02-10
202961;2021-07-13
215398;2026-01-05
64335;2017-06-09
201032;2021-01-12
212773;2025-04-22
211390;2025-01-07
191606;2020-06-05
121547;2019-06-03
52994;2016-11-25
209415;2024-05-22
202749;2021-06-26
203095;2021-07-30
209957;2024-07-22
210768;2024-10-02
206728;2023-05-16
209247;2024-05-07
204425;2022-03-07
208172;2023-12-06
117482;2019-05-10
211212;2024-11-28
213069;2025-05-16
212112;2025-03-05
204023;2021-12-20
212953;2025-05-09
204068;2022-01-06
88262;2018-05-11
51798;2016-09-02
61140;2017-03-22
162742;2019-12-30
210547;2024-09-16
217505;2026-06-22
208133;2023-11-28
51034;2013-05-03
173134;2020-03-02
51027;2013-04-15
216850;2026-04-22
184435;2020-05-04
217357;2026-06-08
216973;2026-05-04
206703;2023-05-16
206410;2023-03-24
203742;2021-10-29
217050;2026-05-14
209655;2024-06-24
214402;2025-09-26
202653;2021-06-01
93395;2018-07-03
205387;2022-08-24
196847;2020-07-13
200637;2020-10-26
161733;2019-12-26
212311;2025-03-20
210773;2024-10-03
192654;2020-06-12
205878;2022-12-01
190548;2020-05-26
208014;2023-11-07
214343;2025-09-10
214426;2025-09-17
203818;2021-11-16
210743;2024-10-01
206413;2023-03-27
214250;2025-09-04
217338;2026-06-05
114338;2019-04-10
113137;2019-03-22
216052;2026-02-11
212898;2025-05-06
51485;2016-03-15
213042;2025-05-19
118492;2019-05-15
211801;2025-02-06
207575;2023-09-04
202985;2021-07-16
200272;2020-09-14
206408;2023-03-28
210177;2024-08-21
110031;2019-02-22
203181;2021-08-10
51839;2016-09-15
217650;2026-07-08
62152;2017-03-24
215521;2026-01-20
50303;2010-09-29
209245;2024-05-07
50940;2012-12-10
61148;2017-03-23
212157;2025-03-10
203622;2021-10-15
213296;2025-06-09
208724;2024-02-28
216385;2026-03-12
50730;2012-04-27
214683;2025-10-10
208005;2023-11-06
194724;2020-06-26
141058;2019-09-20
210288;2024-08-28
50306;2010-09-29
211780;2025-02-04
100606;2018-09-17
66397;2017-07-14
215377;2025-12-17
203738;2021-10-29
51207;2014-07-08
137963;2019-08-30
204315;2022-02-14
200541;2020-10-15
205235;2022-07-27
50140;2010-09-14
214239;2025-09-03
